h_mm,h_MM,fm,model,acc,sp,eo,phase
0.2,0.9,0.3,GCN,0.68,17.454013228416443,3.413078188896179,before
0.2,0.9,0.3,GCN,0.6533333333333333,22.80518412590027,12.889495491981506,after
0.2,1.0,0.3,GCN,0.7,23.704013228416443,20.719754695892334,before
0.2,1.0,0.3,GCN,0.7866666666666666,33.04765820503235,17.349737882614136,after
0.3,0.0,0.3,GCN,0.7033333333333334,21.927256882190704,11.35907918214798,before
0.3,0.0,0.3,GCN,0.7166666666666667,22.596153616905212,10.222601890563965,after
0.3,0.1,0.3,GCN,0.75,24.059364199638367,5.306220054626465,before
0.3,0.1,0.3,GCN,0.7366666666666667,23.80852848291397,7.521303743124008,after
0.3,0.2,0.3,GCN,0.69,16.97324365377426,3.217589482665062,before
0.3,0.2,0.3,GCN,0.6533333333333333,28.741639852523804,21.256323158740997,after
0.3,0.3,0.3,GCN,0.6633333333333333,11.663879454135895,12.339485436677933,before
0.3,0.3,0.3,GCN,0.6866666666666666,18.520067632198334,8.979038149118423,after
0.3,0.4,0.3,GCN,0.68,22.408026456832886,10.993164777755737,before
0.3,0.4,0.3,GCN,0.7,15.30100405216217,8.214399218559265,after
0.3,0.5,0.3,GCN,0.67,22.17809408903122,13.077466189861298,before
0.3,0.5,0.3,GCN,0.7133333333333334,19.23076957464218,2.9453177005052567,after
0.3,0.6,0.3,GCN,0.7133333333333334,16.868728399276733,4.8890408128499985,before
0.3,0.6,0.3,GCN,0.69,21.300166845321655,9.41239446401596,after
0.3,0.7,0.3,GCN,0.6466666666666666,17.60033518075943,8.501480519771576,before
0.3,0.7,0.3,GCN,0.6866666666666666,25.961539149284363,12.674185633659363,after
0.3,0.8,0.3,GCN,0.7066666666666667,23.494982719421387,6.6163137555122375,before
0.3,0.8,0.3,GCN,0.6866666666666666,23.85033518075943,8.192754536867142,after
0.3,0.9,0.3,GCN,0.7933333333333333,32.650500535964966,9.838460385799408,before
0.3,0.9,0.3,GCN,0.67,24.9163880944252,11.302801966667175,after
0.3,1.0,0.3,GCN,0.75,27.968227863311768,16.106629371643066,before
0.3,1.0,0.3,GCN,0.75,30.999162793159485,13.498519361019135,after
0.4,0.0,0.3,GCN,0.74,20.652173459529877,5.998405069112778,before
