h_mm,h_MM,fm,model,acc,sp,eo,phase
0.0,0.4,0.3,GCN,0.7533333333333333,29.201504588127136,12.33128309249878,before
0.0,0.4,0.3,GCN,0.7333333333333333,31.981605291366577,17.796537280082703,after
0.0,0.4,0.5,GCN,0.7066666666666667,3.899572789669037,8.383026719093323,before
0.0,0.4,0.5,GCN,0.74,7.8525640070438385,6.533575057983398,after
0.0,0.5,0.1,GCN,0.73,1.8722018226981163,13.087773323059082,before
0.0,0.5,0.1,GCN,0.7433333333333333,10.744810849428177,6.025774776935577,after
0.0,0.5,0.3,GCN,0.7233333333333334,22.491638362407684,5.0881750881671906,before
0.0,0.5,0.3,GCN,0.71,24.41471517086029,9.022556245326996,after
0.0,0.5,0.5,GCN,0.8,19.017094373703003,3.4634001553058624,before
0.0,0.5,0.5,GCN,0.7366666666666667,5.7692307978868484,9.009592980146408,after
0.0,0.6,0.1,GCN,0.75,20.35001963376999,6.887844204902649,before
0.0,0.6,0.1,GCN,0.7133333333333334,32.92633295059204,23.450016975402832,after
0.0,0.6,0.3,GCN,0.7366666666666667,21.341973543167114,2.33561173081398,before
0.0,0.6,0.3,GCN,0.7433333333333333,21.63461595773697,2.975848689675331,after
0.0,0.6,0.5,GCN,0.74,12.606838345527649,2.3571860045194626,before
0.0,0.6,0.5,GCN,0.73,10.096153616905212,3.9430472999811172,after
0.0,0.7,0.1,GCN,0.6766666666666666,42.24664270877838,35.370951890945435,before
0.0,0.7,0.1,GCN,0.78,27.798128128051758,15.726228058338165,after
0.0,0.7,0.3,GCN,0.7233333333333334,26.19147300720215,8.15926194190979,before
0.0,0.7,0.3,GCN,0.74,23.22324365377426,5.78446127474308,after
0.0,0.7,0.5,GCN,0.7833333333333333,8.600427210330963,12.740904092788696,before
0.0,0.7,0.5,GCN,0.7533333333333333,8.012820780277252,8.527784794569016,after
0.0,0.8,0.1,GCN,0.7666666666666667,18.192918598651886,2.890978753566742,before
0.0,0.8,0.1,GCN,0.66,19.820919632911682,11.337512731552124,after
0.0,0.8,0.3,GCN,0.7166666666666667,23.056019842624664,6.955798715353012,before
0.0,0.8,0.3,GCN,0.7166666666666667,24.623745679855347,7.069036364555359,after
0.0,0.8,0.5,GCN,0.7733333333333333,16.77350401878357,3.614640235900879,before
0.0,0.8,0.5,GCN,0.7433333333333333,17.895299196243286,4.599861800670624,after
0.0,0.9,0.1,GCN,0.7433333333333333,8.872608840465546,8.655521273612976,before
0.0,0.9,0.1,GCN,0.66,22.4257230758667,13.035528361797333,after
0.0,0.9,0.3,GCN,0.7133333333333334,13.001672923564911,7.6201871037483215,before
0.0,0.9,0.3,GCN,0.7633333333333333,27.654683589935303,7.993392646312714,after
0.0,0.9,0.5,GCN,0.7966666666666666,12.232905626296997,12.961283326148987,before
0.0,0.9,0.5,GCN,0.8233333333333334,13.568376004695892,17.712384462356567,after
0.0,1.0,0.1,GCN,0.6966666666666667,32.15303122997284,24.277254939079285,before
0.0,1.0,0.1,GCN,0.75,17.012616991996765,6.243469193577766,after
0.0,1.0,0.3,GCN,0.71,25.02090334892273,8.09318795800209,before
0.0,1.0,0.3,GCN,0.6966666666666667,23.704013228416443,8.195488899946213,after
0.0,1.0,0.5,GCN,0.81,12.339743226766586,9.785239398479462,before
0.0,1.0,0.5,GCN,0.87,22.0085471868515,16.580243408679962,after
0.1,0.0,0.1,GCN,0.79,12.535612285137177,24.712643027305603,before
0.1,0.0,0.1,GCN,0.8133333333333334,23.076923191547394,7.366771250963211,after
0.1,0.0,0.3,GCN,0.72,23.474080860614777,16.218729317188263,before
0.1,0.0,0.3,GCN,0.7366666666666667,26.23327672481537,14.868307113647461,after
0.1,0.0,0.5,GCN,0.7266666666666667,7.8525640070438385,9.700976312160492,before
0.1,0.0,0.5,GCN,0.7,3.579059988260269,7.998444139957428,after
0.1,0.1,0.1,GCN,0.77,27.920228242874146,15.3866246342659,before
0.1,0.1,0.1,GCN,0.7533333333333333,22.100122272968292,12.556600570678711,after
0.1,0.1,0.3,GCN,0.7033333333333334,23.34866225719452,8.46821591258049,before
0.1,0.1,0.3,GCN,0.6866666666666666,20.798495411872864,6.756892055273056,after
